'id_car_equipment','id_car_trim','name','year','date_create','date_update','id_car_type'
'326','5884','Sport + NAVI','2015','1463946797','1534978788','1'
'327','5884','Hi-tech + Black quartz','2015','1463946797','1534978787','1'
'328','5884','Sport','2015','1463946797','1534978784','1'
'329','5884','Hi-tech','2015','1463946797','1534978787','1'
'330','5884','S Design',NULL,'1463946798','1534978789','1'
'331','5884','Sport Pack',NULL,'1463946798','1629732448','1'
'332','5885','Hi-tech','2015','1463946798','1534978794','1'
'333','5885','Hi-tech + Black Quartz','2015','1463946798','1534978795','1'
'334','6101','Elegant',NULL,'1463946905','1534978804','1'
'335','6101','Luxury',NULL,'1463946905','1534978804','1'
'336','6104','Luxury',NULL,'1463946906','1534978806','1'
'338','6117','Superb',NULL,'1463946908','1534978809','1'
'339','6383','Premium','2015','1463947031','1534978842','1'
'340','6383','Luxury','2015','1463947031','1534978843','1'
'341','6383','Premium','2014','1463947031','1534978843','1'
'342','6383','Luxury','2014','1463947031','1534978844','1'
'343','6588','Podstawowa',NULL,'1463947147','1634879887','1'
'344','187926','Executive','2015','1463947154','1534978874','1'
'345','187926','Luxury 1','2015','1463947154','1534978874','1'
'346','187926','Luxury 2','2015','1463947154','1534978875','1'
'347','6894','Comfort','2014','1463947262','1534978877','1'
'348','6894','Luxury','2014','1463947262','1534978876','1'
'349','6894','Comfort','2015','1463947262','1534978878','1'
'350','6894','Luxury','2015','1463947262','1534978878','1'
'351','63125','Podstawowa',NULL,'1463947262','1534978879','1'
'352','6981','Podstawowa',NULL,'1463947267','1534978887','1'
'353','111354','Podstawowa',NULL,'1463947267','1534978888','1'
'354','6980','Podstawowa',NULL,'1463947267','1534978885','1'
'355','108054','Podstawowa',NULL,'1463947267','1534978886','1'
'356','7387','PEVEK (z kung)',NULL,'1463947504','1534978911','1'
'357','7387','Touring_2',NULL,'1463947504','1534978912','1'
'358','7387','Active_2',NULL,'1463947504','1534978913','1'
'359','7387','Active_1',NULL,'1463947505','1534978913','1'
'360','7387','Direct',NULL,'1463947505','1534978914','1'
'361','7387','Touring_1',NULL,'1463947505','1534978915','1'
'362','7387','PEVEK (bez kunga)',NULL,'1463947505','1534978916','1'
'363','7435','Touring','2012','1463947508','1534978931','1'
'364','7435','Touring','2011','1463947508','1534978931','1'
'365','111779','Sport','2012','1463947509','1534978926','1'
'366','111779','Touring','2012','1463947509','1534978928','1'
'367','111779','Sport','2011','1463947509','1534978928','1'
'368','111779','Touring','2011','1463947509','1534978929','1'
'369','8662','Invite+','2016','1463947807','1534978974','1'
'370','8662','Invite+',NULL,'1463947807','1534978975','1'
'371','9127','SE (----J )','2012','1463947928','1534979001','1'
'372','9127','PE+ (AA--B)','2012','1463947928','1534979001','1'
'373','9127','PE+ (-A---)','2012','1463947928','1534979002','1'
'374','9127','SE','2011','1463947928','1534979003','1'
'375','9127','PE+ (AA--B)','2011','1463947928','1534979004','1'
'376','9127','PE+ (-A---)','2011','1463947928','1534979004','1'
'377','9128','PE (--C--)','2012','1463947929','1534979005','1'
'378','9128','PE','2012','1463947929','1534979006','1'
'379','9128','PE+ (AA--B)','2011','1463947929','1534979007','1'
'380','9128','PE+ (-A---)','2011','1463947929','1534979007','1'
'381','9128','PE','2011','1463947929','1534979008','1'
'382','9128','PE (--C--)','2011','1463947929','1534979009','1'
'383','9128','SE','2011','1463947929','1534979009','1'
'384','9128','SE (----J )','2012','1463947929','1534979010','1'
'385','9128','PE+ (AA--B)','2012','1463947929','1534979011','1'
'386','9128','PE+ (-A---)','2012','1463947930','1534979012','1'
'387','9869','Cosmo','2015','1463948174','1534979084','1'
'388','9869','Essentia','2015','1463948174','1534979084','1'
'389','9869','Essentia','2013','1463948174','1534979085','1'
'390','9869','Enjoy','2013','1463948174','1534979086','1'
'391','9869','Cosmo','2013','1463948174','1534979087','1'
'392','9869','Enjoy','2015','1463948174','1534979088','1'
'393','9869','Cosmo','2014','1463948174','1534979089','1'
'394','9869','Enjoy','2014','1463948174','1534979089','1'
'395','9869','Essentia','2014','1463948174','1534979090','1'
'396','9861','Cosmo','2015','1463948174','1534979064','1'
'397','9861','Cosmo','2014','1463948174','1534979065','1'
'398','9861','Cosmo','2013','1463948175','1534979066','1'
'399','9861','Enjoy','2013','1463948175','1534979066','1'
'400','9861','Enjoy','2014','1463948175','1534979067','1'
'401','9861','Enjoy','2015','1463948175','1534979068','1'
'402','62384','Cosmo','2013','1463948175','1534979069','1'
'403','62384','Enjoy','2015','1463948175','1534979070','1'
'404','62384','Cosmo','2014','1463948175','1534979071','1'
'405','62384','Enjoy','2014','1463948175','1534979071','1'
'406','62384','Enjoy','2013','1463948175','1534979072','1'
'407','62384','Cosmo','2015','1463948175','1534979073','1'
'408','9865','Cosmo','2015','1463948175','1534979075','1'
'409','9865','Cosmo','2014','1463948175','1534979076','1'
'410','9868','Enjoy','2015','1463948175','1534979079','1'
'411','9868','Cosmo','2014','1463948176','1534979079','1'
'412','9868','Cosmo','2013','1463948176','1534979080','1'
'413','9868','Cosmo','2015','1463948176','1534979081','1'
'414','9868','Enjoy','2013','1463948176','1534979082','1'
'415','9868','Enjoy','2014','1463948176','1534979083','1'
'416','10344','Allure','2014','1463948286','1534979108','1'
'417','10344','Active','2015','1463948286','1534979106','1'
'418','10344','Allure','2013','1463948286','1534979105','1'
'419','10344','Access','2014','1463948286','1534979109','1'
'420','10344','Active','2014','1463948287','1534979110','1'
'421','10344','Active','2013','1463948287','1534979106','1'
'422','10344','Access','2013','1463948287','1534979111','1'
'423','10344','Access','2015','1463948287','1534979107','1'
'424','10345','Active','2015','1463948287','1534979116','1'
'425','10345','Active','2014','1463948287','1534979114','1'
'426','10345','Allure','2015','1463948287','1534979116','1'
'427','10345','Allure','2014','1463948287','1534979117','1'
'428','10345','Active','2013','1463948287','1534979119','1'
'429','10345','Allure','2013','1463948287','1534979119','1'
'430','10346','Allure','2015','1463948287','1534979123','1'
'431','10346','Active','2015','1463948287','1534979124','1'
'432','10346','Allure','2014','1463948287','1534979121','1'
'433','10346','Active','2014','1463948287','1534979120','1'
'434','10346','Allure','2016','1463948287','1568546956','1'
'435','10346','Allure','2013','1463948288','1534979125','1'
'436','10346','Active','2013','1463948288','1534979122','1'
'437','176202','Allure','2014','1463948288','1534979127','1'
'438','176202','Allure','2013','1463948288','1534979128','1'
'439','176202','Active','2014','1463948288','1534979126','1'
'440','176202','Active','2013','1463948288','1534979126','1'
'441','187961','Active','2015','1463948288','1534979113','1'
'442','187961','Active','2013','1463948288','1534979112','1'
'443','187961','Active','2014','1463948288','1534979112','1'
'444','10546','Access','2012','1463948290','1534979129','1'
'445','10546','Active','2012','1463948290','1534979130','1'
'446','10544','Active','2012','1463948290','1534979132','1'
'447','10545','Allure','2012','1463948291','1534979131','1'
'448','10545','Active','2012','1463948291','1534979131','1'
'449','10550','Active','2012','1463948291','1534979134','1'
'450','10549','Active','2012','1463948291','1534979135','1'
'451','10549','Allure','2012','1463948291','1534979135','1'
'452','10554','Active','2015','1463948292','1534979136','1'
'453','10554','Active','2013','1463948292','1534979137','1'
'454','10554','Access','2013','1463948292','1534979138','1'
'455','10554','Access','2014','1463948292','1534979139','1'
'456','10554','Active','2014','1463948292','1534979139','1'
'457','10554','Access','2015','1463948292','1534979140','1'
'458','10554','Active','2012','1463948292','1534979141','1'
'459','10554','Access','2012','1463948292','1534979142','1'
'460','10553','Active','2013','1463948292','1534979142','1'
'461','10553','Allure','2012','1463948292','1534979143','1'
'462','10553','Active','2012','1463948292','1534979144','1'
'463','10553','Access','2012','1463948292','1534979145','1'
'464','10553','Allure','2013','1463948293','1534979145','1'
'465','10553','Active','2015','1463948293','1534979146','1'
'466','10553','Access','2015','1463948293','1534979147','1'
'467','10553','Allure','2014','1463948293','1534979148','1'
'468','10553','Active','2014','1463948293','1534979148','1'
'469','10553','Access','2014','1463948293','1534979149','1'
'470','10553','Allure','2015','1463948293','1534979150','1'
